event_type,return,abs_return,direction
premarket_open,0.0015574314744362106,0.0015574314744362106,1.0
market_open,-0.01641090912603138,0.01641090912603138,-1.0
market_close,0.002323814662245738,0.002323814662245738,1.0
postmarket_close,-0.004165425573146919,0.004165425573146919,-1.0
premarket_open,-0.0002693904825772364,0.0002693904825772364,-1.0
market_open,0.021980783062074627,0.021980783062074627,1.0
market_close,0.0007455202845898512,0.0007455202845898512,1.0
postmarket_close,-0.00048790120225317146,0.00048790120225317146,-1.0
premarket_open,0.004897333637192247,0.004897333637192247,1.0
market_open,-0.011293925448970565,0.011293925448970565,-1.0
market_close,-0.00032994606387382053,0.00032994606387382053,-1.0
postmarket_close,0.002239513317308095,0.002239513317308095,1.0
premarket_open,-0.0034738220423695676,0.0034738220423695676,-1.0
market_open,-0.002687485013171731,0.002687485013171731,-1.0
market_close,0.002593005398819015,0.002593005398819015,1.0
postmarket_close,0.006756052872217033,0.006756052872217033,1.0
premarket_open,0.0009680218935452789,0.0009680218935452789,1.0
market_open,-0.00013643605681845639,0.00013643605681845639,-1.0
market_close,-0.008107558474723664,0.008107558474723664,-1.0
postmarket_close,-0.0018240038631660571,0.0018240038631660571,-1.0
premarket_open,0.004545518242920821,0.004545518242920821,1.0
market_open,0.0016311486040223588,0.0016311486040223588,1.0
market_close,0.00020616614570312386,0.00020616614570312386,1.0
postmarket_close,-0.008837623079141599,0.008837623079141599,-1.0
premarket_open,0.0022980076086682732,0.0022980076086682732,1.0
market_open,-0.006279172586331594,0.006279172586331594,-1.0
market_close,0.00324433620999498,0.00324433620999498,1.0
postmarket_close,0.0020529080225677454,0.0020529080225677454,1.0
premarket_open,-0.0014214594666371871,0.0014214594666371871,-1.0
market_open,-0.009115672025436505,0.009115672025436505,-1.0
market_close,0.00024048134765797258,0.00024048134765797258,1.0
postmarket_close,0.001315359155006357,0.001315359155006357,1.0
premarket_open,0.0014540815158219367,0.0014540815158219367,1.0
market_open,0.0020876176688868764,0.0020876176688868764,1.0
market_close,0.0017336606989009073,0.0017336606989009073,1.0
postmarket_close,-0.0020050719412499918,0.0020050719412499918,-1.0
premarket_open,0.001603274835958457,0.001603274835958457,1.0
market_open,0.005508300735901361,0.005508300735901361,1.0
market_close,-0.001145764848257791,0.001145764848257791,-1.0
postmarket_close,0.0009841378941370937,0.0009841378941370937,1.0
premarket_open,-0.0011555150408465442,0.0011555150408465442,-1.0
market_open,0.004847697213960389,0.004847697213960389,1.0
market_close,0.0009271704292665994,0.0009271704292665994,1.0
postmarket_close,-0.0006488822564538754,0.0006488822564538754,-1.0
premarket_open,0.0001570580859158177,0.0001570580859158177,1.0
market_open,0.0029635855096716845,0.0029635855096716845,1.0
market_close,0.0005574649603901083,0.0005574649603901083,1.0
postmarket_close,-0.0020716330999301924,0.0020716330999301924,-1.0
premarket_open,0.0008630548160293294,0.0008630548160293294,1.0
market_open,0.0024756938481265145,0.0024756938481265145,1.0
market_close,0.0016401105982144504,0.0016401105982144504,1.0
postmarket_close,0.0029240500325049545,0.0029240500325049545,1.0
premarket_open,-0.0007022177139288655,0.0007022177139288655,-1.0
market_open,-0.0011860656911996115,0.0011860656911996115,-1.0
market_close,-0.00011120300475242484,0.00011120300475242484,-1.0
postmarket_close,0.0005985297326567274,0.0005985297326567274,1.0
premarket_open,-0.0016885991351582863,0.0016885991351582863,-1.0
market_open,-0.0012838277308931945,0.0012838277308931945,-1.0
market_close,0.00041630940171732966,0.00041630940171732966,1.0
postmarket_close,0.0014557115957203326,0.0014557115957203326,1.0
premarket_open,-0.0007401362262478006,0.0007401362262478006,-1.0
market_open,-0.00234634981300319,0.00234634981300319,-1.0
market_close,0.0018697058019856438,0.0018697058019856438,1.0
postmarket_close,-0.002061986301369889,0.002061986301369889,-1.0
premarket_open,-0.0007222527181058869,0.0007222527181058869,-1.0
market_open,0.0026679589509692736,0.0026679589509692736,1.0
market_close,0.0032330111819021123,0.0032330111819021123,1.0
postmarket_close,-0.0007925660566786563,0.0007925660566786563,-1.0
premarket_open,-0.0006927033541370697,0.0006927033541370697,-1.0
market_open,0.00030288521815191594,0.00030288521815191594,1.0
market_close,-0.0014050183318057297,0.0014050183318057297,-1.0
postmarket_close,0.0006039963201134313,0.0006039963201134313,1.0
premarket_open,-3.088014591923205e-06,3.088014591923205e-06,-1.0
market_open,0.003381956924463525,0.003381956924463525,1.0
market_close,-0.0005543620100755264,0.0005543620100755264,-1.0
postmarket_close,-0.0011627399818279205,0.0011627399818279205,-1.0
premarket_open,-0.0006128110365132278,0.0006128110365132278,-1.0
market_open,0.0011716294967090146,0.0011716294967090146,1.0
market_close,0.0010605719403000702,0.0010605719403000702,1.0
postmarket_close,0.0010098713353061672,0.0010098713353061672,1.0
premarket_open,-0.0022071047135409083,0.0022071047135409083,-1.0
market_open,0.005425911537804362,0.005425911537804362,1.0
market_close,0.0011243299270227158,0.0011243299270227158,1.0
postmarket_close,-0.0021908966959782727,0.0021908966959782727,-1.0
premarket_open,0.0015819891933068764,0.0015819891933068764,1.0
market_open,0.0052775625731287246,0.0052775625731287246,1.0
market_close,0.001024154512287101,0.001024154512287101,1.0
postmarket_close,-0.001090808642528307,0.001090808642528307,-1.0
premarket_open,0.0029510951256681572,0.0029510951256681572,1.0
market_open,-0.0013091312017963208,0.0013091312017963208,-1.0
market_close,-0.010881042596432744,0.010881042596432744,-1.0
postmarket_close,0.0002701028685814233,0.0002701028685814233,1.0
premarket_open,4.1826003824185776e-05,4.1826003824185776e-05,1.0
market_open,-0.004696218528239426,0.004696218528239426,-1.0
market_close,0.0022185666333065512,0.0022185666333065512,1.0
postmarket_close,0.000646145428238043,0.000646145428238043,1.0
premarket_open,-0.001592352160727839,0.001592352160727839,-1.0
market_open,-0.0020146540528719337,0.0020146540528719337,-1.0
market_close,0.000779074003356639,0.000779074003356639,1.0
postmarket_close,0.0023743370140687503,0.0023743370140687503,1.0
premarket_open,0.0004911699547691661,0.0004911699547691661,1.0
market_open,-0.0004152840932366564,0.0004152840932366564,-1.0
market_close,-0.0020676266533730114,0.0020676266533730114,-1.0
postmarket_close,0.0017255116550181082,0.0017255116550181082,1.0
premarket_open,0.00033997014175279894,0.00033997014175279894,1.0
